00000001 01 01 2.08 00000001
00000002 00 01 1.56 00000002
00000003 00 00 2.12 00000003
00000004 00 01 1.44 00000004
00000005 02 01 1.01 00000005
00000006 00 01 1.89 00000006
00000007 02 00 1.83 00000007
00000008 00 01 0.62 00000008
00000009 01 00 1.81 00000009
00000010 00 00 1.37 00000010
00000011 00 01 1.72 00000011
00000012 01 01 2.08 00000012
00000013 01 01 0.84 00000013
00000014 00 01 1.95 00000014
00000015 02 00 2.23 00000015
00000016 00 00 1.44 00000016
00000017 01 00 1.57 00000017
00000018 00 01 2.47 00000018
00000019 01 01 0.68 00000019
00000020 00 01 2.07 00000020
00000021 01 01 2.18 00000021
00000022 01 00 1.52 00000022
00000023 02 01 0.89 00000023
00000024 00 00 1.23 00000024
00000025 02 01 0.81 00000025
00000026 00 01 1.36 00000026
00000027 01 01 2.32 00000027
00000028 02 01 0.84 00000028
00000029 01 00 1.45 00000029
00000030 02 00 2.35 00000030
00000031 00 00 0.98 00000031
00000032 00 01 1.84 00000032
00000033 02 00 1.98 00000033
00000034 01 01 1.13 00000034
00000035 01 01 2.35 00000035
00000036 00 01 1.01 00000036
00000037 00 01 0.86 00000037
00000038 02 00 0.81 00000038
00000039 02 01 1.09 00000039
00000040 00 00 1.12 00000040
00000041 00 00 2.16 00000041
00000042 02 01 2.06 00000042
00000043 00 01 1.25 00000043
00000044 00 01 0.80 00000044
00000045 01 01 1.45 00000045
